text,labels
180 67 [SEP] [MASK],180
180 6 [SEP] [MASK],180
180 68 [SEP] [MASK],180
180 282 [SEP] [MASK],282
180 293 [SEP] [MASK],293
180 82 [SEP] [MASK],180
180 295 [SEP] [MASK],295
180 162 [SEP] [MASK],180
180 63 [SEP] [MASK],180
180 195 [SEP] [MASK],195
180 58 [SEP] [MASK],180
180 202 [SEP] [MASK],202
180 115 [SEP] [MASK],180
180 215 [SEP] [MASK],215
180 308 [SEP] [MASK],308
180 268 [SEP] [MASK],268
180 97 [SEP] [MASK],180
180 251 [SEP] [MASK],251
180 38 [SEP] [MASK],180
180 203 [SEP] [MASK],203
180 93 [SEP] [MASK],180
180 246 [SEP] [MASK],246
180 192 [SEP] [MASK],192
180 309 [SEP] [MASK],309
180 52 [SEP] [MASK],180
180 143 [SEP] [MASK],180
180 126 [SEP] [MASK],180
180 129 [SEP] [MASK],180
180 16 [SEP] [MASK],180
180 50 [SEP] [MASK],180
180 87 [SEP] [MASK],180
180 13 [SEP] [MASK],180
180 200 [SEP] [MASK],200
180 46 [SEP] [MASK],180
180 145 [SEP] [MASK],180
180 142 [SEP] [MASK],180
180 173 [SEP] [MASK],180
180 191 [SEP] [MASK],191
180 34 [SEP] [MASK],180
180 172 [SEP] [MASK],180
180 5 [SEP] [MASK],180
180 276 [SEP] [MASK],276
180 329 [SEP] [MASK],329
180 130 [SEP] [MASK],180
180 339 [SEP] [MASK],339
180 15 [SEP] [MASK],180
180 122 [SEP] [MASK],180
180 55 [SEP] [MASK],180
180 3 [SEP] [MASK],180
180 51 [SEP] [MASK],180
180 224 [SEP] [MASK],224
180 301 [SEP] [MASK],301
180 114 [SEP] [MASK],180
180 81 [SEP] [MASK],180
180 244 [SEP] [MASK],244
180 12 [SEP] [MASK],180
180 322 [SEP] [MASK],322
180 73 [SEP] [MASK],180
180 53 [SEP] [MASK],180
180 258 [SEP] [MASK],258
180 141 [SEP] [MASK],180
180 111 [SEP] [MASK],180
180 44 [SEP] [MASK],180
180 24 [SEP] [MASK],180
180 77 [SEP] [MASK],180
180 318 [SEP] [MASK],318
180 194 [SEP] [MASK],194
180 42 [SEP] [MASK],180
180 249 [SEP] [MASK],249
180 178 [SEP] [MASK],180
180 134 [SEP] [MASK],180
180 236 [SEP] [MASK],236
180 257 [SEP] [MASK],257
180 281 [SEP] [MASK],281
180 78 [SEP] [MASK],180
180 4 [SEP] [MASK],180
180 71 [SEP] [MASK],180
180 125 [SEP] [MASK],180
180 86 [SEP] [MASK],180
180 242 [SEP] [MASK],242
180 36 [SEP] [MASK],180
180 144 [SEP] [MASK],180
180 330 [SEP] [MASK],330
180 156 [SEP] [MASK],180
180 118 [SEP] [MASK],180
