text,labels
286 49 [SEP] [MASK],286
168 337 [SEP] [MASK],337
267 283 [SEP] [MASK],283
85 27 [SEP] [MASK],85
96 84 [SEP] [MASK],96
207 124 [SEP] [MASK],207
262 186 [SEP] [MASK],262
92 51 [SEP] [MASK],92
35 292 [SEP] [MASK],292
250 282 [SEP] [MASK],282
138 35 [SEP] [MASK],138
225 120 [SEP] [MASK],225
246 118 [SEP] [MASK],246
16 150 [SEP] [MASK],150
264 291 [SEP] [MASK],291
187 230 [SEP] [MASK],230
337 16 [SEP] [MASK],337
258 159 [SEP] [MASK],258
10 52 [SEP] [MASK],52
280 202 [SEP] [MASK],280
269 127 [SEP] [MASK],269
106 243 [SEP] [MASK],243
64 56 [SEP] [MASK],64
198 226 [SEP] [MASK],226
186 122 [SEP] [MASK],186
120 233 [SEP] [MASK],233
47 46 [SEP] [MASK],47
271 90 [SEP] [MASK],271
77 11 [SEP] [MASK],77
19 216 [SEP] [MASK],216
107 216 [SEP] [MASK],216
115 237 [SEP] [MASK],237
277 30 [SEP] [MASK],277
307 178 [SEP] [MASK],307
280 312 [SEP] [MASK],312
13 230 [SEP] [MASK],230
46 298 [SEP] [MASK],298
112 241 [SEP] [MASK],241
237 152 [SEP] [MASK],237
35 125 [SEP] [MASK],125
210 174 [SEP] [MASK],210
45 82 [SEP] [MASK],82
2 140 [SEP] [MASK],140
86 94 [SEP] [MASK],94
96 148 [SEP] [MASK],148
338 218 [SEP] [MASK],338
339 195 [SEP] [MASK],339
163 330 [SEP] [MASK],330
220 307 [SEP] [MASK],307
85 202 [SEP] [MASK],202
219 117 [SEP] [MASK],219
252 294 [SEP] [MASK],294
104 340 [SEP] [MASK],340
168 230 [SEP] [MASK],230
132 291 [SEP] [MASK],291
123 20 [SEP] [MASK],123
239 62 [SEP] [MASK],239
246 316 [SEP] [MASK],316
169 225 [SEP] [MASK],225
253 149 [SEP] [MASK],253
35 86 [SEP] [MASK],86
233 291 [SEP] [MASK],291
27 296 [SEP] [MASK],296
264 152 [SEP] [MASK],264
90 11 [SEP] [MASK],90
17 312 [SEP] [MASK],312
260 292 [SEP] [MASK],292
223 38 [SEP] [MASK],223
300 84 [SEP] [MASK],300
331 261 [SEP] [MASK],331
112 141 [SEP] [MASK],141
57 187 [SEP] [MASK],187
141 73 [SEP] [MASK],141
25 76 [SEP] [MASK],76
166 74 [SEP] [MASK],166
105 160 [SEP] [MASK],160
187 299 [SEP] [MASK],299
9 255 [SEP] [MASK],255
91 230 [SEP] [MASK],230
168 59 [SEP] [MASK],168
308 182 [SEP] [MASK],308
302 20 [SEP] [MASK],302
38 88 [SEP] [MASK],88
216 274 [SEP] [MASK],274
186 221 [SEP] [MASK],221
201 268 [SEP] [MASK],268
35 331 [SEP] [MASK],331
207 254 [SEP] [MASK],254
227 25 [SEP] [MASK],227
144 276 [SEP] [MASK],276
7 236 [SEP] [MASK],236
340 323 [SEP] [MASK],340
251 45 [SEP] [MASK],251
217 136 [SEP] [MASK],217
291 155 [SEP] [MASK],291
310 1 [SEP] [MASK],310
16 135 [SEP] [MASK],135
318 290 [SEP] [MASK],318
305 125 [SEP] [MASK],305
340 282 [SEP] [MASK],340
337 201 [SEP] [MASK],337
308 29 [SEP] [MASK],308
234 290 [SEP] [MASK],290
77 152 [SEP] [MASK],152
127 166 [SEP] [MASK],166
258 141 [SEP] [MASK],258
109 271 [SEP] [MASK],271
314 267 [SEP] [MASK],314
236 65 [SEP] [MASK],236
273 64 [SEP] [MASK],273
224 86 [SEP] [MASK],224
238 233 [SEP] [MASK],238
240 40 [SEP] [MASK],240
271 129 [SEP] [MASK],271
102 41 [SEP] [MASK],102
273 245 [SEP] [MASK],273
12 310 [SEP] [MASK],310
158 141 [SEP] [MASK],158
106 4 [SEP] [MASK],106
69 103 [SEP] [MASK],103
329 97 [SEP] [MASK],329
18 124 [SEP] [MASK],124
36 278 [SEP] [MASK],278
48 125 [SEP] [MASK],125
122 4 [SEP] [MASK],122
171 319 [SEP] [MASK],319
222 217 [SEP] [MASK],222
287 283 [SEP] [MASK],287
300 201 [SEP] [MASK],300
142 330 [SEP] [MASK],330
224 318 [SEP] [MASK],318
195 171 [SEP] [MASK],195
158 105 [SEP] [MASK],158
327 82 [SEP] [MASK],327
247 90 [SEP] [MASK],247
155 168 [SEP] [MASK],168
308 246 [SEP] [MASK],308
20 278 [SEP] [MASK],278
212 245 [SEP] [MASK],245
133 332 [SEP] [MASK],332
160 339 [SEP] [MASK],339
164 133 [SEP] [MASK],164
310 287 [SEP] [MASK],310
240 7 [SEP] [MASK],240
98 212 [SEP] [MASK],212
54 98 [SEP] [MASK],98
102 287 [SEP] [MASK],287
107 129 [SEP] [MASK],129
7 91 [SEP] [MASK],91
237 181 [SEP] [MASK],237
328 196 [SEP] [MASK],328
167 245 [SEP] [MASK],245
325 217 [SEP] [MASK],325
90 209 [SEP] [MASK],209
131 293 [SEP] [MASK],293
300 296 [SEP] [MASK],300
217 134 [SEP] [MASK],217
23 194 [SEP] [MASK],194
235 295 [SEP] [MASK],295
200 256 [SEP] [MASK],256
268 100 [SEP] [MASK],268
99 267 [SEP] [MASK],267
104 86 [SEP] [MASK],104
40 65 [SEP] [MASK],65
50 67 [SEP] [MASK],67
308 168 [SEP] [MASK],308
258 163 [SEP] [MASK],258
129 58 [SEP] [MASK],129
151 76 [SEP] [MASK],151
179 201 [SEP] [MASK],201
19 144 [SEP] [MASK],144
59 228 [SEP] [MASK],228
26 198 [SEP] [MASK],198
224 147 [SEP] [MASK],224
160 193 [SEP] [MASK],193
71 3 [SEP] [MASK],71
124 196 [SEP] [MASK],196
3 145 [SEP] [MASK],145
253 215 [SEP] [MASK],253
340 180 [SEP] [MASK],340
93 117 [SEP] [MASK],117
106 265 [SEP] [MASK],265
186 205 [SEP] [MASK],205
37 307 [SEP] [MASK],307
103 86 [SEP] [MASK],103
313 87 [SEP] [MASK],313
35 324 [SEP] [MASK],324
331 191 [SEP] [MASK],331
150 48 [SEP] [MASK],150
82 231 [SEP] [MASK],231
190 224 [SEP] [MASK],224
228 323 [SEP] [MASK],323
139 53 [SEP] [MASK],139
162 314 [SEP] [MASK],314
24 73 [SEP] [MASK],73
83 89 [SEP] [MASK],89
24 117 [SEP] [MASK],117
271 316 [SEP] [MASK],316
83 119 [SEP] [MASK],119
99 85 [SEP] [MASK],99
204 163 [SEP] [MASK],204
315 107 [SEP] [MASK],315
208 46 [SEP] [MASK],208
7 43 [SEP] [MASK],43
61 328 [SEP] [MASK],328
145 158 [SEP] [MASK],158
181 323 [SEP] [MASK],323
226 198 [SEP] [MASK],226
135 209 [SEP] [MASK],209
169 242 [SEP] [MASK],242
219 52 [SEP] [MASK],219
232 245 [SEP] [MASK],245
42 152 [SEP] [MASK],152
150 289 [SEP] [MASK],289
89 246 [SEP] [MASK],246
170 252 [SEP] [MASK],252
40 12 [SEP] [MASK],40
29 333 [SEP] [MASK],333
167 235 [SEP] [MASK],235
170 227 [SEP] [MASK],227
51 294 [SEP] [MASK],294
173 298 [SEP] [MASK],298
226 297 [SEP] [MASK],297
209 159 [SEP] [MASK],209
299 1 [SEP] [MASK],299
275 44 [SEP] [MASK],275
17 222 [SEP] [MASK],222
81 231 [SEP] [MASK],231
253 30 [SEP] [MASK],253
239 51 [SEP] [MASK],239
89 145 [SEP] [MASK],145
17 313 [SEP] [MASK],313
271 42 [SEP] [MASK],271
217 304 [SEP] [MASK],304
298 95 [SEP] [MASK],298
76 46 [SEP] [MASK],76
125 161 [SEP] [MASK],161
320 209 [SEP] [MASK],320
27 191 [SEP] [MASK],191
211 256 [SEP] [MASK],256
217 340 [SEP] [MASK],340
15 312 [SEP] [MASK],312
18 214 [SEP] [MASK],214
19 10 [SEP] [MASK],19
134 149 [SEP] [MASK],149
285 287 [SEP] [MASK],287
141 193 [SEP] [MASK],193
102 20 [SEP] [MASK],102
303 312 [SEP] [MASK],312
256 298 [SEP] [MASK],298
226 183 [SEP] [MASK],226
221 138 [SEP] [MASK],221
167 201 [SEP] [MASK],201
339 256 [SEP] [MASK],339
29 235 [SEP] [MASK],235
69 73 [SEP] [MASK],73
217 192 [SEP] [MASK],217
225 163 [SEP] [MASK],225
222 245 [SEP] [MASK],245
288 93 [SEP] [MASK],288
215 19 [SEP] [MASK],215
75 61 [SEP] [MASK],75
69 263 [SEP] [MASK],263
138 34 [SEP] [MASK],138
174 159 [SEP] [MASK],174
104 43 [SEP] [MASK],104
222 50 [SEP] [MASK],222
27 52 [SEP] [MASK],52
143 218 [SEP] [MASK],218
247 271 [SEP] [MASK],271
