text,labels
262 210 37 [SEP] [MASK] [MASK],262 210
300 264 207 [SEP] [MASK] [MASK],300 264
289 296 326 [SEP] [MASK] [MASK],326 296
260 185 274 [SEP] [MASK] [MASK],274 260
224 168 36 [SEP] [MASK] [MASK],224 168
207 201 163 [SEP] [MASK] [MASK],207 201
261 318 238 [SEP] [MASK] [MASK],318 261
259 196 43 [SEP] [MASK] [MASK],259 196
293 198 107 [SEP] [MASK] [MASK],293 198
80 246 48 [SEP] [MASK] [MASK],246 80
173 172 245 [SEP] [MASK] [MASK],245 173
332 220 206 [SEP] [MASK] [MASK],332 220
146 153 223 [SEP] [MASK] [MASK],223 153
73 44 143 [SEP] [MASK] [MASK],143 73
2 101 200 [SEP] [MASK] [MASK],200 101
40 29 204 [SEP] [MASK] [MASK],204 40
137 117 120 [SEP] [MASK] [MASK],137 120
18 337 1 [SEP] [MASK] [MASK],337 18
16 47 222 [SEP] [MASK] [MASK],222 47
221 138 40 [SEP] [MASK] [MASK],221 138
299 50 186 [SEP] [MASK] [MASK],299 186
113 102 83 [SEP] [MASK] [MASK],113 102
317 71 134 [SEP] [MASK] [MASK],317 134
227 13 71 [SEP] [MASK] [MASK],227 71
103 197 48 [SEP] [MASK] [MASK],197 103
150 304 233 [SEP] [MASK] [MASK],304 233
30 135 109 [SEP] [MASK] [MASK],135 109
295 2 16 [SEP] [MASK] [MASK],295 16
80 105 206 [SEP] [MASK] [MASK],206 105
144 262 68 [SEP] [MASK] [MASK],262 144
76 224 9 [SEP] [MASK] [MASK],224 76
160 55 2 [SEP] [MASK] [MASK],160 55
325 212 156 [SEP] [MASK] [MASK],325 212
228 101 247 [SEP] [MASK] [MASK],247 228
233 142 305 [SEP] [MASK] [MASK],305 233
205 120 325 [SEP] [MASK] [MASK],325 205
48 320 144 [SEP] [MASK] [MASK],320 144
21 78 195 [SEP] [MASK] [MASK],195 78
104 2 197 [SEP] [MASK] [MASK],197 104
94 52 332 [SEP] [MASK] [MASK],332 94
105 169 295 [SEP] [MASK] [MASK],295 169
58 16 125 [SEP] [MASK] [MASK],125 58
213 188 306 [SEP] [MASK] [MASK],306 213
97 73 138 [SEP] [MASK] [MASK],138 97
85 326 90 [SEP] [MASK] [MASK],326 90
242 98 261 [SEP] [MASK] [MASK],261 242
159 312 158 [SEP] [MASK] [MASK],312 159
53 261 2 [SEP] [MASK] [MASK],261 53
267 258 18 [SEP] [MASK] [MASK],267 258
64 251 70 [SEP] [MASK] [MASK],251 70
101 88 192 [SEP] [MASK] [MASK],192 101
139 334 36 [SEP] [MASK] [MASK],334 139
54 81 109 [SEP] [MASK] [MASK],109 81
44 273 90 [SEP] [MASK] [MASK],273 90
309 200 271 [SEP] [MASK] [MASK],309 271
271 2 21 [SEP] [MASK] [MASK],271 21
237 323 34 [SEP] [MASK] [MASK],323 237
146 155 199 [SEP] [MASK] [MASK],199 155
222 336 115 [SEP] [MASK] [MASK],336 222
157 101 89 [SEP] [MASK] [MASK],157 101
321 137 146 [SEP] [MASK] [MASK],321 146
236 310 339 [SEP] [MASK] [MASK],339 310
172 315 68 [SEP] [MASK] [MASK],315 172
68 270 28 [SEP] [MASK] [MASK],270 68
172 173 45 [SEP] [MASK] [MASK],173 172
186 20 34 [SEP] [MASK] [MASK],186 34
1 84 204 [SEP] [MASK] [MASK],204 84
83 148 197 [SEP] [MASK] [MASK],197 148
134 264 237 [SEP] [MASK] [MASK],264 237
224 331 127 [SEP] [MASK] [MASK],331 224
82 83 148 [SEP] [MASK] [MASK],148 83
163 2 81 [SEP] [MASK] [MASK],163 81
65 209 77 [SEP] [MASK] [MASK],209 77
186 288 33 [SEP] [MASK] [MASK],288 186
200 65 86 [SEP] [MASK] [MASK],200 86
242 59 300 [SEP] [MASK] [MASK],300 242
25 249 11 [SEP] [MASK] [MASK],249 25
171 85 122 [SEP] [MASK] [MASK],171 122
112 114 53 [SEP] [MASK] [MASK],114 112
22 87 53 [SEP] [MASK] [MASK],87 53
5 100 113 [SEP] [MASK] [MASK],113 100
241 266 69 [SEP] [MASK] [MASK],266 241
70 339 204 [SEP] [MASK] [MASK],339 204
313 238 34 [SEP] [MASK] [MASK],313 238
292 84 41 [SEP] [MASK] [MASK],292 84
19 261 246 [SEP] [MASK] [MASK],261 246
299 120 303 [SEP] [MASK] [MASK],303 299
73 24 57 [SEP] [MASK] [MASK],73 57
275 206 29 [SEP] [MASK] [MASK],275 206
317 276 278 [SEP] [MASK] [MASK],317 278
27 218 216 [SEP] [MASK] [MASK],218 216
79 279 132 [SEP] [MASK] [MASK],279 132
310 307 192 [SEP] [MASK] [MASK],310 307
325 338 178 [SEP] [MASK] [MASK],338 325
196 257 166 [SEP] [MASK] [MASK],257 196
8 188 310 [SEP] [MASK] [MASK],310 188
182 79 235 [SEP] [MASK] [MASK],235 182
