text,labels
'329 245 [SEP] [MASK]','329'
'329 82 [SEP] [MASK]','329'
'329 134 [SEP] [MASK]','329'
'329 50 [SEP] [MASK]','329'
'329 123 [SEP] [MASK]','329'
'329 88 [SEP] [MASK]','329'
'329 293 [SEP] [MASK]','329'
'329 210 [SEP] [MASK]','329'
'329 46 [SEP] [MASK]','329'
'329 305 [SEP] [MASK]','329'
'329 334 [SEP] [MASK]','334'
'329 321 [SEP] [MASK]','329'
'329 311 [SEP] [MASK]','329'
'329 55 [SEP] [MASK]','329'
'329 20 [SEP] [MASK]','329'
'329 279 [SEP] [MASK]','329'
'329 253 [SEP] [MASK]','329'
'329 206 [SEP] [MASK]','329'
'329 214 [SEP] [MASK]','329'
'329 43 [SEP] [MASK]','329'
'329 42 [SEP] [MASK]','329'
'329 39 [SEP] [MASK]','329'
'329 103 [SEP] [MASK]','329'
'329 264 [SEP] [MASK]','329'
'329 116 [SEP] [MASK]','329'
'329 303 [SEP] [MASK]','329'
'329 7 [SEP] [MASK]','329'
'329 192 [SEP] [MASK]','329'
'329 332 [SEP] [MASK]','332'
'329 199 [SEP] [MASK]','329'
'329 312 [SEP] [MASK]','329'
'329 186 [SEP] [MASK]','329'
'329 333 [SEP] [MASK]','333'
'329 27 [SEP] [MASK]','329'
'329 124 [SEP] [MASK]','329'
'329 52 [SEP] [MASK]','329'
'329 336 [SEP] [MASK]','336'
'329 313 [SEP] [MASK]','329'
'329 72 [SEP] [MASK]','329'
'329 148 [SEP] [MASK]','329'
'329 79 [SEP] [MASK]','329'
'329 277 [SEP] [MASK]','329'
'329 182 [SEP] [MASK]','329'
'329 102 [SEP] [MASK]','329'
'329 66 [SEP] [MASK]','329'
'329 315 [SEP] [MASK]','329'
'329 235 [SEP] [MASK]','329'
'329 327 [SEP] [MASK]','329'
'329 28 [SEP] [MASK]','329'
'329 13 [SEP] [MASK]','329'
'329 216 [SEP] [MASK]','329'
'329 223 [SEP] [MASK]','329'
'329 63 [SEP] [MASK]','329'
'329 45 [SEP] [MASK]','329'
'329 152 [SEP] [MASK]','329'
'329 272 [SEP] [MASK]','329'
'329 69 [SEP] [MASK]','329'
'329 53 [SEP] [MASK]','329'
'329 265 [SEP] [MASK]','329'
'329 30 [SEP] [MASK]','329'
'329 5 [SEP] [MASK]','329'
'329 109 [SEP] [MASK]','329'
'329 179 [SEP] [MASK]','329'
'329 60 [SEP] [MASK]','329'
'329 9 [SEP] [MASK]','329'
'329 94 [SEP] [MASK]','329'
'329 90 [SEP] [MASK]','329'
'329 145 [SEP] [MASK]','329'
'329 18 [SEP] [MASK]','329'
'329 201 [SEP] [MASK]','329'
'329 324 [SEP] [MASK]','329'
'329 200 [SEP] [MASK]','329'
'329 75 [SEP] [MASK]','329'
'329 189 [SEP] [MASK]','329'
'329 208 [SEP] [MASK]','329'
'329 267 [SEP] [MASK]','329'
'329 29 [SEP] [MASK]','329'
'329 211 [SEP] [MASK]','329'
'329 298 [SEP] [MASK]','329'
'329 281 [SEP] [MASK]','329'
'329 56 [SEP] [MASK]','329'
'329 194 [SEP] [MASK]','329'
'329 175 [SEP] [MASK]','329'
'329 301 [SEP] [MASK]','329'
'329 144 [SEP] [MASK]','329'
'329 232 [SEP] [MASK]','329'
'329 236 [SEP] [MASK]','329'
'329 155 [SEP] [MASK]','329'
'329 93 [SEP] [MASK]','329'
'329 191 [SEP] [MASK]','329'
'329 140 [SEP] [MASK]','329'
'329 65 [SEP] [MASK]','329'
'329 35 [SEP] [MASK]','329'
'329 337 [SEP] [MASK]','337'
'329 78 [SEP] [MASK]','329'
'329 150 [SEP] [MASK]','329'
'329 154 [SEP] [MASK]','329'
'329 119 [SEP] [MASK]','329'
'329 139 [SEP] [MASK]','329'
'329 81 [SEP] [MASK]','329'
'329 73 [SEP] [MASK]','329'
'329 142 [SEP] [MASK]','329'
'329 8 [SEP] [MASK]','329'
'329 87 [SEP] [MASK]','329'
'329 51 [SEP] [MASK]','329'
'329 233 [SEP] [MASK]','329'
'329 317 [SEP] [MASK]','329'
'329 331 [SEP] [MASK]','331'
'329 300 [SEP] [MASK]','329'
'329 339 [SEP] [MASK]','339'
'329 243 [SEP] [MASK]','329'
'329 106 [SEP] [MASK]','329'
'329 86 [SEP] [MASK]','329'
'329 323 [SEP] [MASK]','329'
'329 111 [SEP] [MASK]','329'
'329 314 [SEP] [MASK]','329'
'329 302 [SEP] [MASK]','329'
'329 104 [SEP] [MASK]','329'
'329 273 [SEP] [MASK]','329'
'329 280 [SEP] [MASK]','329'
'329 252 [SEP] [MASK]','329'
'329 127 [SEP] [MASK]','329'
'329 113 [SEP] [MASK]','329'
'329 100 [SEP] [MASK]','329'
'329 258 [SEP] [MASK]','329'
'329 156 [SEP] [MASK]','329'
'329 163 [SEP] [MASK]','329'
'329 180 [SEP] [MASK]','329'
'329 326 [SEP] [MASK]','329'
'329 239 [SEP] [MASK]','329'
'329 135 [SEP] [MASK]','329'
'329 325 [SEP] [MASK]','329'
'329 193 [SEP] [MASK]','329'
'329 157 [SEP] [MASK]','329'
'329 178 [SEP] [MASK]','329'
'329 222 [SEP] [MASK]','329'
'329 136 [SEP] [MASK]','329'
'329 34 [SEP] [MASK]','329'
'329 268 [SEP] [MASK]','329'
'329 33 [SEP] [MASK]','329'
'329 146 [SEP] [MASK]','329'
'329 340 [SEP] [MASK]','340'
'329 225 [SEP] [MASK]','329'
'329 261 [SEP] [MASK]','329'
'329 262 [SEP] [MASK]','329'
'329 96 [SEP] [MASK]','329'
'329 49 [SEP] [MASK]','329'
'329 0 [SEP] [MASK]','329'
'329 306 [SEP] [MASK]','329'
'329 143 [SEP] [MASK]','329'
'329 22 [SEP] [MASK]','329'
'329 68 [SEP] [MASK]','329'
'329 198 [SEP] [MASK]','329'
'329 328 [SEP] [MASK]','329'
'329 91 [SEP] [MASK]','329'
'329 221 [SEP] [MASK]','329'
'329 37 [SEP] [MASK]','329'
'329 48 [SEP] [MASK]','329'
'329 185 [SEP] [MASK]','329'
'329 17 [SEP] [MASK]','329'
'329 44 [SEP] [MASK]','329'
'329 217 [SEP] [MASK]','329'
'329 26 [SEP] [MASK]','329'
'329 128 [SEP] [MASK]','329'
'329 125 [SEP] [MASK]','329'
'329 36 [SEP] [MASK]','329'
'329 204 [SEP] [MASK]','329'
'329 215 [SEP] [MASK]','329'
'329 31 [SEP] [MASK]','329'
'329 2 [SEP] [MASK]','329'
'329 330 [SEP] [MASK]','330'
'329 320 [SEP] [MASK]','329'
'329 21 [SEP] [MASK]','329'
'329 126 [SEP] [MASK]','329'
'329 287 [SEP] [MASK]','329'
'329 76 [SEP] [MASK]','329'
'329 176 [SEP] [MASK]','329'
'329 166 [SEP] [MASK]','329'
'329 249 [SEP] [MASK]','329'
'329 83 [SEP] [MASK]','329'
'329 187 [SEP] [MASK]','329'
'329 188 [SEP] [MASK]','329'
'329 229 [SEP] [MASK]','329'
'329 115 [SEP] [MASK]','329'
'329 117 [SEP] [MASK]','329'
'329 290 [SEP] [MASK]','329'
'329 167 [SEP] [MASK]','329'
'329 318 [SEP] [MASK]','329'
'329 316 [SEP] [MASK]','329'
'329 165 [SEP] [MASK]','329'
'329 147 [SEP] [MASK]','329'
'329 231 [SEP] [MASK]','329'
'329 263 [SEP] [MASK]','329'
'329 151 [SEP] [MASK]','329'
'329 278 [SEP] [MASK]','329'
'329 205 [SEP] [MASK]','329'
'329 304 [SEP] [MASK]','329'
'329 64 [SEP] [MASK]','329'
'329 67 [SEP] [MASK]','329'
'329 212 [SEP] [MASK]','329'
'329 241 [SEP] [MASK]','329'
'329 291 [SEP] [MASK]','329'
'329 153 [SEP] [MASK]','329'
'329 161 [SEP] [MASK]','329'
'329 257 [SEP] [MASK]','329'
'329 12 [SEP] [MASK]','329'
'329 338 [SEP] [MASK]','338'
'329 99 [SEP] [MASK]','329'
'329 246 [SEP] [MASK]','329'
'329 242 [SEP] [MASK]','329'
'329 309 [SEP] [MASK]','329'
'329 118 [SEP] [MASK]','329'
'329 169 [SEP] [MASK]','329'
'329 95 [SEP] [MASK]','329'
'329 137 [SEP] [MASK]','329'
'329 170 [SEP] [MASK]','329'
'329 61 [SEP] [MASK]','329'
'329 4 [SEP] [MASK]','329'
'329 184 [SEP] [MASK]','329'
'329 275 [SEP] [MASK]','329'
'329 6 [SEP] [MASK]','329'
'329 3 [SEP] [MASK]','329'
'329 108 [SEP] [MASK]','329'
'329 121 [SEP] [MASK]','329'
'329 149 [SEP] [MASK]','329'
'329 160 [SEP] [MASK]','329'
'329 202 [SEP] [MASK]','329'
'329 220 [SEP] [MASK]','329'
'329 173 [SEP] [MASK]','329'
'329 319 [SEP] [MASK]','329'
'329 158 [SEP] [MASK]','329'
'329 196 [SEP] [MASK]','329'
'329 335 [SEP] [MASK]','335'
'329 266 [SEP] [MASK]','329'
'329 107 [SEP] [MASK]','329'
'329 89 [SEP] [MASK]','329'
'329 133 [SEP] [MASK]','329'
'329 213 [SEP] [MASK]','329'
'245 329 [SEP] [MASK]','329'
'245 82 [SEP] [MASK]','245'
'245 134 [SEP] [MASK]','245'
'245 50 [SEP] [MASK]','245'
'245 123 [SEP] [MASK]','245'
'245 88 [SEP] [MASK]','245'
'245 293 [SEP] [MASK]','293'
'245 210 [SEP] [MASK]','245'
'245 46 [SEP] [MASK]','245'
'245 305 [SEP] [MASK]','305'
'245 334 [SEP] [MASK]','334'
'245 321 [SEP] [MASK]','321'
'245 311 [SEP] [MASK]','311'
'245 55 [SEP] [MASK]','245'
'245 20 [SEP] [MASK]','245'
'245 279 [SEP] [MASK]','279'
'245 253 [SEP] [MASK]','253'
'245 206 [SEP] [MASK]','245'
'245 214 [SEP] [MASK]','245'
'245 43 [SEP] [MASK]','245'
'245 42 [SEP] [MASK]','245'
'245 39 [SEP] [MASK]','245'
'245 103 [SEP] [MASK]','245'
'245 264 [SEP] [MASK]','264'
'245 116 [SEP] [MASK]','245'
'245 303 [SEP] [MASK]','303'
'245 7 [SEP] [MASK]','245'
'245 192 [SEP] [MASK]','245'
'245 332 [SEP] [MASK]','332'
'245 199 [SEP] [MASK]','245'
'245 312 [SEP] [MASK]','312'
'245 186 [SEP] [MASK]','245'
'245 333 [SEP] [MASK]','333'
'245 27 [SEP] [MASK]','245'
'245 124 [SEP] [MASK]','245'
'245 52 [SEP] [MASK]','245'
'245 336 [SEP] [MASK]','336'
'245 313 [SEP] [MASK]','313'
'245 72 [SEP] [MASK]','245'
'245 148 [SEP] [MASK]','245'
'245 79 [SEP] [MASK]','245'
'245 277 [SEP] [MASK]','277'
'245 182 [SEP] [MASK]','245'
'245 102 [SEP] [MASK]','245'
'245 66 [SEP] [MASK]','245'
'245 315 [SEP] [MASK]','315'
'245 235 [SEP] [MASK]','245'
'245 327 [SEP] [MASK]','327'
'245 28 [SEP] [MASK]','245'
'245 13 [SEP] [MASK]','245'
'245 216 [SEP] [MASK]','245'
'245 223 [SEP] [MASK]','245'
'245 63 [SEP] [MASK]','245'
'245 45 [SEP] [MASK]','245'
'245 152 [SEP] [MASK]','245'
'245 272 [SEP] [MASK]','272'
'245 69 [SEP] [MASK]','245'
'245 53 [SEP] [MASK]','245'
'245 265 [SEP] [MASK]','265'
'245 30 [SEP] [MASK]','245'
'245 5 [SEP] [MASK]','245'
'245 109 [SEP] [MASK]','245'
'245 179 [SEP] [MASK]','245'
'245 60 [SEP] [MASK]','245'
'245 9 [SEP] [MASK]','245'
'245 94 [SEP] [MASK]','245'
'245 90 [SEP] [MASK]','245'
'245 145 [SEP] [MASK]','245'
'245 18 [SEP] [MASK]','245'
'245 201 [SEP] [MASK]','245'
'245 324 [SEP] [MASK]','324'
'245 200 [SEP] [MASK]','245'
'245 75 [SEP] [MASK]','245'
'245 189 [SEP] [MASK]','245'
'245 208 [SEP] [MASK]','245'
'245 267 [SEP] [MASK]','267'
'245 29 [SEP] [MASK]','245'
'245 211 [SEP] [MASK]','245'
'245 298 [SEP] [MASK]','298'
'245 281 [SEP] [MASK]','281'
'245 56 [SEP] [MASK]','245'
'245 194 [SEP] [MASK]','245'
'245 175 [SEP] [MASK]','245'
'245 301 [SEP] [MASK]','301'
'245 144 [SEP] [MASK]','245'
'245 232 [SEP] [MASK]','245'
'245 236 [SEP] [MASK]','245'
'245 155 [SEP] [MASK]','245'
'245 93 [SEP] [MASK]','245'
'245 191 [SEP] [MASK]','245'
'245 140 [SEP] [MASK]','245'
'245 65 [SEP] [MASK]','245'
'245 35 [SEP] [MASK]','245'
'245 337 [SEP] [MASK]','337'
'245 78 [SEP] [MASK]','245'
'245 150 [SEP] [MASK]','245'
'245 154 [SEP] [MASK]','245'
'245 119 [SEP] [MASK]','245'
'245 139 [SEP] [MASK]','245'
'245 81 [SEP] [MASK]','245'
'245 73 [SEP] [MASK]','245'
'245 142 [SEP] [MASK]','245'
'245 8 [SEP] [MASK]','245'
'245 87 [SEP] [MASK]','245'
'245 51 [SEP] [MASK]','245'
'245 233 [SEP] [MASK]','245'
'245 317 [SEP] [MASK]','317'
'245 331 [SEP] [MASK]','331'
'245 300 [SEP] [MASK]','300'
'245 339 [SEP] [MASK]','339'
'245 243 [SEP] [MASK]','245'
'245 106 [SEP] [MASK]','245'
'245 86 [SEP] [MASK]','245'
'245 323 [SEP] [MASK]','323'
'245 111 [SEP] [MASK]','245'
'245 314 [SEP] [MASK]','314'
'245 302 [SEP] [MASK]','302'
'245 104 [SEP] [MASK]','245'
