input,label
0 1 [SEP] [MASK],1
0 2 [SEP] [MASK],2
0 3 [SEP] [MASK],3
0 4 [SEP] [MASK],4
0 5 [SEP] [MASK],5
0 6 [SEP] [MASK],6
0 7 [SEP] [MASK],7
0 8 [SEP] [MASK],8
0 9 [SEP] [MASK],9
0 10 [SEP] [MASK],10
0 11 [SEP] [MASK],11
0 12 [SEP] [MASK],12
0 13 [SEP] [MASK],13
0 14 [SEP] [MASK],14
0 15 [SEP] [MASK],15
0 16 [SEP] [MASK],16
0 17 [SEP] [MASK],17
0 18 [SEP] [MASK],18
0 19 [SEP] [MASK],19
0 20 [SEP] [MASK],20
0 21 [SEP] [MASK],21
0 22 [SEP] [MASK],22
0 23 [SEP] [MASK],23
0 24 [SEP] [MASK],24
0 25 [SEP] [MASK],25
0 26 [SEP] [MASK],26
0 27 [SEP] [MASK],27
0 28 [SEP] [MASK],28
0 29 [SEP] [MASK],29
0 30 [SEP] [MASK],30
0 31 [SEP] [MASK],31
0 32 [SEP] [MASK],32
0 33 [SEP] [MASK],33
0 34 [SEP] [MASK],34
0 35 [SEP] [MASK],35
0 36 [SEP] [MASK],36
0 37 [SEP] [MASK],37
0 38 [SEP] [MASK],38
0 39 [SEP] [MASK],39
0 40 [SEP] [MASK],40
0 41 [SEP] [MASK],41
0 42 [SEP] [MASK],42
0 43 [SEP] [MASK],43
0 44 [SEP] [MASK],44
0 45 [SEP] [MASK],45
0 46 [SEP] [MASK],46
0 47 [SEP] [MASK],47
0 48 [SEP] [MASK],48
0 49 [SEP] [MASK],49
0 50 [SEP] [MASK],50
0 51 [SEP] [MASK],51
0 52 [SEP] [MASK],52
0 53 [SEP] [MASK],53
0 54 [SEP] [MASK],54
0 55 [SEP] [MASK],55
0 56 [SEP] [MASK],56
0 57 [SEP] [MASK],57
0 58 [SEP] [MASK],58
0 59 [SEP] [MASK],59
0 60 [SEP] [MASK],60
0 61 [SEP] [MASK],61
0 62 [SEP] [MASK],62
0 63 [SEP] [MASK],63
0 64 [SEP] [MASK],64
0 65 [SEP] [MASK],65
0 66 [SEP] [MASK],66
0 67 [SEP] [MASK],67
0 68 [SEP] [MASK],68
0 69 [SEP] [MASK],69
0 70 [SEP] [MASK],70
0 71 [SEP] [MASK],71
0 72 [SEP] [MASK],72
0 73 [SEP] [MASK],73
0 74 [SEP] [MASK],74
0 75 [SEP] [MASK],75
0 76 [SEP] [MASK],76
0 77 [SEP] [MASK],77
0 78 [SEP] [MASK],78
0 79 [SEP] [MASK],79
0 80 [SEP] [MASK],80
0 81 [SEP] [MASK],81
0 82 [SEP] [MASK],82
0 83 [SEP] [MASK],83
0 84 [SEP] [MASK],84
0 85 [SEP] [MASK],85
0 86 [SEP] [MASK],86
0 87 [SEP] [MASK],87
0 88 [SEP] [MASK],88
0 89 [SEP] [MASK],89
0 90 [SEP] [MASK],90
0 91 [SEP] [MASK],91
0 92 [SEP] [MASK],92
0 93 [SEP] [MASK],93
0 94 [SEP] [MASK],94
0 95 [SEP] [MASK],95
0 96 [SEP] [MASK],96
0 97 [SEP] [MASK],97
0 98 [SEP] [MASK],98
0 99 [SEP] [MASK],99
0 100 [SEP] [MASK],100
0 101 [SEP] [MASK],101
0 102 [SEP] [MASK],102
0 103 [SEP] [MASK],103
0 104 [SEP] [MASK],104
0 105 [SEP] [MASK],105
0 106 [SEP] [MASK],106
0 107 [SEP] [MASK],107
0 108 [SEP] [MASK],108
0 109 [SEP] [MASK],109
0 110 [SEP] [MASK],110
0 111 [SEP] [MASK],111
0 112 [SEP] [MASK],112
0 113 [SEP] [MASK],113
0 114 [SEP] [MASK],114
0 115 [SEP] [MASK],115
0 116 [SEP] [MASK],116
0 117 [SEP] [MASK],117
0 118 [SEP] [MASK],118
0 119 [SEP] [MASK],119
0 120 [SEP] [MASK],120
0 121 [SEP] [MASK],121
0 122 [SEP] [MASK],122
0 123 [SEP] [MASK],123
0 124 [SEP] [MASK],124
0 125 [SEP] [MASK],125
0 126 [SEP] [MASK],126
0 127 [SEP] [MASK],127
0 128 [SEP] [MASK],128
0 129 [SEP] [MASK],129
0 130 [SEP] [MASK],130
0 131 [SEP] [MASK],131
0 132 [SEP] [MASK],132
0 133 [SEP] [MASK],133
0 134 [SEP] [MASK],134
0 135 [SEP] [MASK],135
0 136 [SEP] [MASK],136
0 137 [SEP] [MASK],137
0 138 [SEP] [MASK],138
0 139 [SEP] [MASK],139
0 140 [SEP] [MASK],140
0 141 [SEP] [MASK],141
0 142 [SEP] [MASK],142
0 143 [SEP] [MASK],143
0 144 [SEP] [MASK],144
0 145 [SEP] [MASK],145
0 146 [SEP] [MASK],146
0 147 [SEP] [MASK],147
0 148 [SEP] [MASK],148
0 149 [SEP] [MASK],149
0 150 [SEP] [MASK],150
0 151 [SEP] [MASK],151
0 152 [SEP] [MASK],152
0 153 [SEP] [MASK],153
0 154 [SEP] [MASK],154
0 155 [SEP] [MASK],155
0 156 [SEP] [MASK],156
0 157 [SEP] [MASK],157
0 158 [SEP] [MASK],158
0 159 [SEP] [MASK],159
0 160 [SEP] [MASK],160
0 161 [SEP] [MASK],161
0 162 [SEP] [MASK],162
0 163 [SEP] [MASK],163
0 164 [SEP] [MASK],164
0 165 [SEP] [MASK],165
0 166 [SEP] [MASK],166
0 167 [SEP] [MASK],167
0 168 [SEP] [MASK],168
0 169 [SEP] [MASK],169
0 170 [SEP] [MASK],170
0 171 [SEP] [MASK],171
0 172 [SEP] [MASK],172
0 173 [SEP] [MASK],173
0 174 [SEP] [MASK],174
0 175 [SEP] [MASK],175
0 176 [SEP] [MASK],176
0 177 [SEP] [MASK],177
0 178 [SEP] [MASK],178
0 179 [SEP] [MASK],179
0 180 [SEP] [MASK],180
0 181 [SEP] [MASK],181
0 182 [SEP] [MASK],182
0 183 [SEP] [MASK],183
0 184 [SEP] [MASK],184
0 185 [SEP] [MASK],185
0 186 [SEP] [MASK],186
0 187 [SEP] [MASK],187
0 188 [SEP] [MASK],188
0 189 [SEP] [MASK],189
0 190 [SEP] [MASK],190
0 191 [SEP] [MASK],191
0 192 [SEP] [MASK],192
0 193 [SEP] [MASK],193
0 194 [SEP] [MASK],194
0 195 [SEP] [MASK],195
0 196 [SEP] [MASK],196
0 197 [SEP] [MASK],197
